season,season_type,full_player_name,abbr_player_name,team,position,gsis_id
2014,post,Luke Willson,L.Willson,SEA,TE,00-0030089
2014,post,Marion Grice,M.Grice,ARI,RB,00-0030999
2014,post,Markus Wheaton,M.Wheaton,PIT,WR,00-0030460
2014,post,Marlon Brown,M.Brown,BAL,WR,00-0030400
2014,post,Marshawn Lynch,M.Lynch,SEA,RB,00-0025399
2014,post,Martavis Bryant,M.Bryant,PIT,WR,00-0031373
2014,post,Matthew Stafford,M.Stafford,DET,QB,00-0026498
2014,post,Michael Campanaro,M.Campanaro,BAL,WR,00-0031025
2014,post,Michael Floyd,M.Floyd,ARI,WR,00-0029638
2014,post,Michael Hoomanawanui,M.Hoomanawanui,NE,TE,00-0027732
2014,post,Mike Tolbert,M.Tolbert,CAR,FB,00-0026069
2014,post,Mohamed Sanu,M.Sanu,CIN,WR,00-0029632
2014,post,Owen Daniels,O.Daniels,BAL,TE,00-0024313
2014,post,Paul Richardson,P.Richardson,SEA,WR,00-0031257
2014,post,Peyton Manning,P.Manning,DEN,QB,00-0010346
2014,post,Randall Cobb,R.Cobb,GB,WR,00-0028002
2014,post,Reggie Bush,R.Bush,DET,RB,00-0024217
2014,post,Reggie Wayne,R.Wayne,IND,WR,00-0020498
2014,post,Rex Burkhead,R.Burkhead,CIN,RB,00-0030288
2014,post,Ricardo Lockette,R.Lockette,SEA,WR,00-0028442
2014,post,Richard Rodgers,R.Rodgers,GB,TE,00-0031384
2014,post,Rob Gronkowski,R.Gronkowski,NE,TE,00-0027656
2014,post,Rob Housler,R.Housler,ARI,TE,00-0028007
2014,post,Robert Hughes,R.Hughes,ARI,RB,00-0028345
2014,post,Robert Turbin,R.Turbin,SEA,RB,00-0029273
2014,post,Ronnie Hillman,R.Hillman,DEN,RB,00-0029683
2014,post,Russell Wilson,R.Wilson,SEA,QB,00-0029263
2014,post,Ryan Hewitt,R.Hewitt,CIN,TE,00-0030780
2014,post,Ryan Lindley,R.Lindley,ARI,QB,00-0029531
2014,post,Shane Vereen,S.Vereen,NE,RB,00-0027994
2014,post,Stepfan Taylor,S.Taylor,ARI,RB,00-0030282
2014,post,Steve Smith,S.Smith,BAL,WR,00-0020337
2014,post,T.Y. Hilton,T.Hilton,IND,WR,00-0029608
2014,post,Ted Ginn,T.Ginn,ARI,WR,00-0025396
2014,post,Terrance Williams,T.Williams,DAL,WR,00-0030542
2014,post,Tom Brady,T.Brady,NE,QB,00-0019596
