Season,Player,Team,Pos,name
2017,Jamison Crowder,WAS,WR,J.Crowder
2017,Jonathan Allen,WAS,DE,J.Allen
2017,Jordan Reed,WAS,TE,J.Reed
2017,Josh Doctson,WAS,WR,J.Doctson
2017,Josh Harvey-Clemons,WAS,LB,J.Harvey-Clemons
2017,Josh Norman,WAS,CB,J.Norman
2017,Joshua Holsey,WAS,DB,J.Holsey
2017,Junior Galette,WAS,LB,J.Galette
2017,Kendall Fuller,WAS,CB,K.Fuller
2017,Kirk Cousins,WAS,QB,K.Cousins
2017,Martrell Spaight,WAS,ILB,M.Spaight
2017,Mason Foster,WAS,ILB,M.Foster
2017,Matthew Ioannidis,WAS,DT,M.Ioannidis
2017,Montae Nicholson,WAS,SS,M.Nicholson
2017,Nick Rose,WAS,K,N.Rose
2017,Niles Paul,WAS,TE,N.Paul
2017,Preston Smith,WAS,OLB,P.Smith
2017,Quinton Dunbar,WAS,CB,Q.Dunbar
2017,Rob Kelley,WAS,RB,R.Kelley
2017,Ryan Anderson,WAS,OLB,R.Anderson
2017,Ryan Grant,WAS,WR,R.Grant
2017,Ryan Kerrigan,WAS,OLB,R.Kerrigan
2017,Samaje Perine,WAS,RB,S.Perine
2017,Stacy McGee,WAS,DE,S.McGee
2017,Stefan McClure,WAS,DB,S.McClure
2017,Terrell McClain,WAS,DT,T.McClain
2017,Terrelle Pryor,WAS,WR,T.Pryor
2017,Tress Way,WAS,P,T.Way
2017,Vernon Davis,WAS,TE,V.Davis
2017,Will Compton,WAS,ILB,W.Compton
2017,Zach Brown,WAS,ILB,Z.Brown
2017,Ziggy Hood,WAS,NT,Z.Hood
2017,Alshon Jeffery,PHI,WR,A.Jeffery
2017,Beau Allen,PHI,DT,B.Allen
2017,Brandon Graham,PHI,DE,B.Graham
2017,Brent Celek,PHI,TE,B.Celek
2017,Caleb Sturgis,PHI,K,C.Sturgis
2017,Carson Wentz,PHI,QB,C.Wentz
2017,Chris Long,PHI,DE,C.Long
2017,Chris Maragos,PHI,FS,C.Maragos
2017,Corey Clement,PHI,RB,C.Clement
2017,Corey Graham,PHI,DB,C.Graham
2017,Darren Sproles,PHI,RB,D.Sproles
